TICKER;PRECO;ULTDIV;DY;VPC;PVP;LIQD;CAIXA;CAGRDIV;CAGRVLR;PATRIMONIO;NCOTISTAS;GESTAO;NCOTA
WSEC11;8.04;0.085;14.46;10.19;0.79;16613.57;9.9;;;22254203.31;531.0;Ativa;2456510.0
WTSP11B;36.0;10.25;40.63;79.31;0.45;;13.22;64.9;-9.7;98231212.53;215.0;Ativa;1238572.0
XBXO11;0.0;;0.0;93.61;;;0.0;;;284819330.95;5.0;Ativa;3042600.0
XPCI11;77.98;0.81;14.25;89.17;0.87;1758146.38;4.12;-4.61;-3.74;775877731.3;74981.0;Ativa;8701551.0
XPCM11;7.28;0.02;1.24;27.42;0.27;17089.71;3.51;-34.84;-28.24;66206640.79;19770.0;Passiva;2414570.0
XPIN11;69.75;0.74;10.97;105.34;0.66;406802.19;3.47;0.89;-3.62;753061293.75;46837.0;Ativa;7150422.0
XPLG11;94.24;0.78;10.76;112.25;0.84;3899725.81;7.3;4.09;2.28;3498312039.33;348915.0;Ativa;31164389.0
XPML11;99.71;0.92;11.0;117.14;0.85;12957318.1;19.98;9.83;5.12;6480240151.23;555889.0;Ativa;55320191.0
XPPR11;14.4;0.07;6.74;61.9;0.23;114012.33;1.24;-43.01;-37.22;452861360.01;44739.0;Ativa;7316171.0
XPSF11;6.51;0.07;14.52;7.64;0.85;476153.0;2.26;0.74;-1.68;330823221.4;63255.0;Ativa;43302140.0
YEES11;102.05;;0.0;87.03;1.17;0.0;45.31;;;7829841.94;130.0;Ativa;89969.0
YUFI11;88.87;0.162793;3.08;105.21;0.84;0.0;0.83;;;51833276.84;58.0;Ativa;492650.0
ZAGH11;13.0;0.07;4.0;9.21;1.41;726.14;7.69;;;42783877.65;274.0;;4645960.0
ZAVC11;10.49;0.13;7.82;10.04;1.04;6.82;15.23;;;31110512.89;138.0;Ativa;3097348.0
ZAVI11;103.52;1.15;15.01;131.26;0.79;143749.62;5.93;;;154014555.33;3923.0;Ativa;1173322.0
ZIFI11;610.0;3.304958;0.0;1773.56;0.34;2765.48;0.1;;-16.29;84217703.27;94.0;Ativa;47485.0
