TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RINV11;104,15;1,100000;13,85;104,12;1,00;530.316,27;2,85;;;201.846.147,51;3.409,00;Ativa;1.938.647,00
RMAI11;73,00;0,470000;7,62;102,18;0,71;25.701,14;0,35;14,98;32,77;249.697.796,14;1.091,00;Ativa;2.443.800,00
RNDP11;42,10;0,690000;24,61;62,88;0,67;8.358,86;15,30;-39,16;-59,16;6.758.461,60;1.236,00;Ativa;107.481,00
RNGO11;47,50;0,380000;9,68;82,87;0,57;156.776,59;1,24;-0,50;-3,73;221.756.362,86;8.769,00;Passiva;2.676.000,00
ROOF11;689,77;41,715400;0,00;504,64;1,37;0,00;8,16;;;39.106.988,11;79,00;Ativa;77.495,00
RPRI11;86,40;0,950000;13,98;99,29;0,87;567.683,09;4,91;;;344.691.689,05;4.553,00;Ativa;3.471.728,00
RRCI11;69,90;0,850000;14,86;90,92;0,77;46.015,32;10,70;-9,48;-1,86;43.798.999,08;2.045,00;Ativa;481.757,00
RSPD11;1.025,00;20,132742;2,29;1.101,96;0,93;186,36;0,46;;;164.204.751,49;139,00;Ativa;149.011,00
RTEL11;0,00;;0,00;102,82;;;13,46;;;35.698.692,68;549,00;Ativa;347.200,00
RVBI11;64,50;0,750000;13,80;76,97;0,84;1.492.555,91;0,48;-0,37;-3,38;790.903.830,21;47.725,00;Ativa;10.276.012,00
RZAK11;79,40;1,070000;17,61;88,58;0,90;1.749.904,27;0,84;-9,92;-0,63;780.223.327,56;53.605,00;Ativa;8.807.885,00
RZAT11;86,60;0,980000;16,13;100,54;0,86;1.592.160,64;12,52;-8,21;-5,28;425.771.991,58;39.506,00;Ativa;4.235.042,00
RZDM11;550,16;2,900000;0,00;63,81;8,62;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RZLC11;1.004,08;10,209911;2,02;994,28;1,01;1.720.980,18;1,09;;;49.713.814,14;6,00;Ativa;50.000,00
RZTR11;88,05;0,900000;12,95;97,77;0,90;5.393.681,09;1,44;-8,74;-1,92;1.843.152.511,64;130.863,00;Ativa;18.851.720,00
RZZI11;0,00;;0,00;1.000,19;;;1,16;;;47.098.083,04;114,00;;47.089,00
RZZR11;139,00;1,150000;9,79;164,72;0,84;34.593,68;1,77;2,69;-0,90;792.805.570,32;349,00;Passiva;4.813.172,00
SACL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SADI11;8,32;0,087000;13,27;9,53;0,87;364.819,50;6,63;-0,42;1,49;147.625.427,83;10.308,00;Ativa;15.486.840,00
SAIC11B;0,00;0,662215;0,00;55,03;;0,00;1,67;;;78.685.592,00;45,00;Passiva;1.429.740,00
SALI11;0,00;;0,00;90,27;;;5,42;;;7.182.392,11;2,00;Passiva;79.565,00
SAPI11;8,15;0,090000;12,29;98,73;0,08;318.834,18;19,18;;;152.404.397,77;2.732,00;Ativa;1.543.684,00
SARE11;3,76;0,020000;10,27;87,42;0,04;705.840,23;2,32;-20,46;-17,76;807.309.472,28;34.297,00;Ativa;9.234.329,00
SBCL11;0,00;;0,00;9,37;;;121,31;;;281.061,60;3,00;Ativa;30.000,00
SCPF11;2,02;0,045000;3,71;11,85;0,17;3.666,05;0,63;6,06;-38,08;49.781.465,53;4.785,00;Ativa;4.200.000,00
SEED11;100,12;1,070000;11,17;89,60;1,12;52.694,74;2,19;;;146.942.307,63;130,00;Ativa;1.640.000,00
SEQR11;49,28;0,582300;15,01;92,50;0,53;101.773,86;1,48;-1,42;-12,42;154.076.285,63;5.308,00;Ativa;1.665.695,00
SFND11;83,07;0,100000;0,12;63,81;1,30;;3,50;115,88;;118.155.565,38;8.102,00;;1.851.786,00
SFRO11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SHDP11B;0,00;8,142849;0,00;1.421,10;;;2,05;4,30;;1.690.722.482,49;2,00;Passiva;1.189.725,00
SHOP11;54,49;;0,00;39,90;1,37;14,77;0,14;;;59.095.410,21;67,00;Ativa;1.481.266,00
SHPH11;820,05;4,500000;7,00;923,44;0,89;203.373,50;1,37;7,98;0,56;562.329.797,83;2.273,00;Passiva;608.950,00
SHSO11;0,00;0,420000;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SIGR11;99,90;1,295000;6,63;100,19;1,00;72,73;10,00;;;68.168.817,65;175,00;Ativa;680.426,00
SJAU11;51,09;11,880000;23,25;62,84;0,81;395,55;0,01;;;498.481.763,74;219,00;Passiva;7.932.248,00
SLDZ11;0,00;;0,00;0,00;;;;;;-172.660,39;2,00;Ativa;5.025,00
SMRE11;100,00;1,013673;6,40;104,54;0,96;1.086.266,32;51,48;;;98.796.188,54;2,00;Ativa;945.078,00
SNCI11;90,00;1,000000;12,83;98,53;0,91;580.294,82;4,88;-8,45;-1,74;413.808.448,77;41.363,00;Ativa;4.200.000,00
SNEL11;8,99;0,100000;13,61;7,01;1,28;980.388,64;6,84;;;132.425.356,73;20.206,00;Ativa;18.898.185,00
SNFF11;82,70;0,720000;13,18;86,47;0,96;365.532,05;6,71;8,64;-0,69;258.229.204,58;30.435,00;Ativa;2.986.443,00
